3120,Asian,Asian,ASIA,3119,1,0,0,1,1,af47f01f-75b7-4c93-a421-eb1dbea76f70
3121,African American,African American,AFAM,3119,2,0,0,1,1,5f4cc52a-32a7-4b61-a16d-bb2efc10edde
3122,Caribbean,Caribbean,CARB,3119,3,0,0,1,1,bae1f6f7-fe88-4304-a183-a1cf81befabc
3123,Hispanic,Hispanic,HISP,3119,4,0,0,1,1,8e405f90-98bc-4f0e-a946-8e65cb88dd40
3124,Native American,Native American,NATV,3119,5,0,0,1,1,6793a997-f889-47c0-b33e-68b508b57949
3125,"White, Non-Hispanic","White, Non-Hispanic",WHIT,3119,6,0,0,1,1,c2b7e510-6247-4858-a5e9-4f151e6f7fe5
3126,Other,Other,OTHR,3119,7,0,0,1,1,3b36b291-1ba7-4ff3-8136-2d8c39abcafd
3127,Unknown,Unknown,UNKN,3119,8,0,0,1,1,177e4a95-4db9-4099-8b21-bf5cedfcf15d
3128,Unspecified,Unspecified by surveyor,UNSP,3119,9,1,0,1,1,aa9f2b1a-b0c9-468b-8546-0383d7e60a43
