type,siteid,resourceid
Archaeological Site,AL00510,2dff1640-b6d2-4032-a0f8-7fe8f557644c
Archaeological Site,AL00511,67a8e182-14ef-458a-a26e-22fe4ba1b7d6
Archaeological Site,AL00512,1e6f0e68-41e3-49dd-b6ac-a72b631f68f3
Archaeological Site,AL00513,e5faf8f2-8361-490b-b6f5-88a49f3c5b12
Archaeological Site,AL00514,51a509d4-56bf-4749-80f6-e84256225446
Archaeological Site,AL00516,6edd985f-95e5-4b3e-997f-51221acc82f2
Archaeological Site,AL00518B,a1881b07-40c0-436b-8e50-093c96c3283e
Archaeological Site,AL00519B,d657f113-ef0d-468f-adec-1903807e2881
Archaeological Site,AL00520,00d2a405-d5f8-404a-af8a-8f1235a185e4
Archaeological Site,AL00521,d3a97ade-e6fa-4571-841a-7b698dfd6bb7
Archaeological Site,AL00522,377cfbdc-e9cb-4472-9221-42367ca46b84
Archaeological Site,AL00523,0551413b-63c9-43b6-a140-90b10e8f0173
Archaeological Site,AL00524,23b04279-7710-422b-94c0-c8b96e751ab8
Archaeological Site,AL00525,c99b33da-f621-4de4-82e8-9e1b6fe59422
Archaeological Site,AL00526,dfbd9b78-454a-4cba-9afb-9990647d80ba
Archaeological Site,AL00527,648ef23b-dfe1-41a3-8335-eaf52ea6cb15
Archaeological Site,AL00528,3dda11b8-bb86-4298-8a91-27dcb88c3543
Archaeological Site,AL00529,a1e0f2ab-6be0-4b70-81c5-704aff440213
Archaeological Site,AL00530,52d739e2-3b0e-4e1a-a7ad-d1841f0d476c
Archaeological Site,AL00531,080d6177-11a1-4eba-b525-7fc6c0ab1e43
Archaeological Site,AL00532,523e63d6-245a-489e-9cec-b69bac42e05b
Archaeological Site,AL02325,224ed7bc-d835-4d03-afb8-a0736479623c
Archaeological Site,AL02327,6a913f6a-2b86-4f71-bc03-45a1418b4f6f
Archaeological Site,AL02328,6b5d8ad5-cfe8-4841-b8d1-6f0c8a379dc1
Archaeological Site,AL02471,664d5a8f-0f48-4030-b6a4-be390033a6af
Archaeological Site,AL02472,970fb7ed-7287-4bea-990c-a1487992cabf
Archaeological Site,AL02477,9855248a-3ad3-4d9c-91ec-9b57ffd430e9
Archaeological Site,AL02478,1e246a1a-3d60-44a9-99e3-778f29b86dfc
Archaeological Site,AL02555,d6496bf1-f9f1-4247-a2d0-795caae2cae4
Archaeological Site,AL02558,c217fbb4-52a6-4269-bb55-7e713a31b017
Archaeological Site,AL02561,1e4285f0-d1f8-425a-89ba-6f1a108c3a0e
Archaeological Site,AL02562,8ddce916-23f3-4c9b-a811-5657f4cad5ce
Archaeological Site,AL02608,22b8c4ca-8929-4e34-8091-eafefeb5f235
Archaeological Site,AL02612,746b7817-c3df-4f4a-b3cb-7b4ef6c39b92
Archaeological Site,AL02886,0a513638-9375-4e8f-b705-186380a56b7f
Archaeological Site,AL02902,4c34f16d-221f-47b9-90e7-77ef46d37ada
Archaeological Site,AL02906,36ec64c2-473c-48ae-83a3-f1c74f01eca4
Archaeological Site,AL02907,02a6732a-d6a3-4436-b863-0046f2b4b052
Archaeological Site,AL02918B,b86b8ee6-0893-4819-b10c-eaf69f4792f2
Archaeological Site,AL02923,850495a1-d1f6-42e8-8ddb-d2c5cfa1b673
Archaeological Site,AL02926,90dc25db-3849-4c91-9213-79af3ae1e7c7
Archaeological Site,AL03067,ea9766fd-9db6-4ef2-9ad7-1d15a6acd9a0
Archaeological Site,AL03068,686b600f-8c77-420e-b6ed-ada85fcc5215
Archaeological Site,AL03127,45a311a4-059d-45a1-a15d-3530883741eb
Archaeological Site,AL03128,c7206828-a673-47fe-a8a0-1f728a47e279
Archaeological Site,AL03245,03cb81cb-21bc-4e77-8c82-73a94b4c7344
Archaeological Site,AL03246,12e06b88-7345-440f-b652-85833bfdb21e
Archaeological Site,AL03247,55426903-101e-43ad-9fd8-7c95c1ec69b8
Archaeological Site,AL03248,a1203daa-d819-45f1-aa95-d63bc7a3d980
Archaeological Site,AL03249,802ff01b-0c3e-4e3b-bc67-9425d71b71fe
Archaeological Site,AL03250,ca90186e-72a2-4d65-babc-ab1233329cd4
Archaeological Site,AL03251,e61ffbc8-9047-4814-904c-612c65480cc6
Archaeological Site,AL03252,41f1d198-0681-4fc2-8937-0758eebe9d22
Archaeological Site,AL03254,cdcd1083-cf27-4d92-92da-431d2f8972cf
Archaeological Site,AL03255,43ce6d44-493e-4977-9242-d61976ad5826
Archaeological Site,AL03256,7588d5f6-c095-4e98-a3be-099e1661e4aa
Archaeological Site,AL03257,a5833677-5868-49cd-b465-cabca1ab71a5
Archaeological Site,AL03258,de4f44ae-5666-40e4-b646-ae1a3b7e8496
Archaeological Site,AL03275,731fc61b-2964-49aa-8060-fce834088292
Archaeological Site,AL03393,0ac00c91-c9db-4423-88e8-901294cd69aa
Archaeological Site,AL03394,5c4143a4-11cd-4684-92c4-f917bdc06da8
Archaeological Site,AL03395,e51ae6c2-c912-4934-836a-680f2eaaa7c9
Archaeological Site,AL03396,527820be-2a00-48b4-9082-d4278a17886e
Archaeological Site,AL03397,62e71727-9e22-4786-8e46-2964f472312e
Archaeological Site,AL03398,92a610ff-9552-456b-b925-93586ab59b91
Archaeological Site,AL03399,d3837db9-b1cd-4d04-a8c5-179b4163ad98
Archaeological Site,AL03400,0c677f7e-6e92-45a3-a4c9-b03d5cdc669c
Archaeological Site,AL03401,2f4c213d-7c65-46db-84e5-e07f7301e154
Archaeological Site,AL03402,5d93c080-3acc-44d7-aedc-cc5614a73280
Archaeological Site,AL03403,ef699f9b-0a28-45e6-8d8e-9184e6f6f57d
Archaeological Site,AL03411,6bf5cfc3-f52c-48b2-b173-9fe67389c4f4
Archaeological Site,AL03412,b168799a-a551-4daf-a043-3797ffca4693
Archaeological Site,AL03413,37a63bba-d716-494b-81f8-22eeda9f37e5
Archaeological Site,AL03414,41c1329b-83d9-4bc0-9234-6d33c0f13fe8
Archaeological Site,AL03415,82c5cbe5-e5b6-4d25-b049-82b361f962d7
Archaeological Site,AL03416,b7f13990-26a5-4882-99df-58615fe67823
Archaeological Site,AL03417,36e45fe5-d89c-49df-95c7-8918a0d52e0a
Archaeological Site,AL03421,59d2bfdc-8f4a-4aa5-9e87-f1fdc72bddd8
Archaeological Site,AL03422,1b3c436e-df0e-4f5d-94d0-31456e395c00
Archaeological Site,AL03511,24a4c1af-9136-452f-98bd-cc2684b70d38
