ResourceID,geom,SITEID,SITENAME
d9b11076-354e-4a2f-83a3-1738d5e03dbe,POINT (-82.311168780999935 29.623601492000034),AL05575,Jackson Tank
62ee0fd7-0802-4515-95f8-8fec3bfa5442,POINT (-82.16011423499998 29.481483578000052),AL05630,Marjorie Kinnan Rawlings Pump House
7fa17c3a-040c-40b7-ac98-1f1c3ae41b14,POINT (-82.160554182999988 29.481130305000079),AL05631,Brice Tenant House
dcab57d3-cc79-4654-b22b-080021675764,POINT (-82.389881300999946 30.212653423000063),BA00408,USFS #95-1 (H) OSC
a65fcf8b-248b-4db5-ab90-ceb848c0b9d7,POINT (-82.388276832999964 30.214018274000068),BA00583,Olustee Battlefield State Monument
8cac33df-fe96-42f3-8a56-10ba82568ce4,POINT (-82.388963732999969 30.213129622000054),BA00610,Olustee Tower
1c06012a-258f-4c17-b581-20e0a11a1fbf,POINT (-82.388773864999962 30.214069858000073),BA00643,Olustee Battlefield Museum
e3ee4281-bf06-4baa-9815-5e888eeac3ee,POINT (-82.388530853999953 30.214641632000053),BA00644,Olustee Battlefield Ranger Residence
97f13dab-1aac-413e-8f15-0fbc8d4f5fd8,POINT (-80.080781319999971 26.259162812000056),BD00179,HILLSBORO INLET LIGHT STATION
7685100e-a5f9-4373-b70c-12053d842e9c,POINT (-80.104556558999946 26.138628391000054),BD02152,"BIRCH, HUGH TAYLOR HOUSE"
eabb4a98-bd2d-4efd-b8eb-e568c66135a9,POINT (-80.111082601999954 26.092094159000055),BD02898,SMALL CRAFT BOATHOUSE NAS BUILDING 30
d8c4b0e9-b3f5-4f25-b80d-44699cbe5c79,POINT (-80.108348472999978 26.092417233000049),BD02899,BDG 40
a91b8d82-1a44-4f26-989b-4c888489111b,POINT (-80.108517788999961 26.092356830000028),BD02900,BUILDING 43 NAVAL AIR STATION FT LAUDERD
783eda37-7ee2-4b41-81d8-d0ec0dcc45aa,POINT (-80.108324704999973 26.092254713000045),BD02901,BUILDING 44 NORTH PLOTTING TOWER NAS
5baefa79-d62b-4652-b116-186ed7cd573f,POINT (-80.54351455799997 28.460399662000043),BR00212,CAPE CANAVERAL LIGHTHOUSE
06a0f067-fe22-4a4d-99b4-d0bdad04dc98,POINT (-80.509788040999979 27.827962567000043),BR01784,HANSHAW HOUSE
8235be4a-c0d0-4517-9427-9172d79f3292,POINT (-85.989527075999945 30.273611452000068),BY00879,THE LODGE
b4a86feb-e59d-4eac-9911-7b32c94efd3f,POINT (-85.98957394599995 30.273831285000028),BY00880,GUEST APARTMENT
9d050e4a-4c3d-49d9-9bb0-c5f53c980c16,POINT (-85.99012574599999 30.273884079000027),BY00881,MAID & BUTLER HOUSE
55939c73-0c05-4ccb-97b9-7a50734ad7c1,POINT (-85.989829371999974 30.273995496000055),BY00882,STABLE
27704447-9e4f-45df-84ea-4e923881f8ad,POINT (-85.990087932999984 30.273408877000065),BY00883,KITCHEN
8aed5b21-ef96-43d1-ac99-f96632be25b4,POINT (-85.989691895999954 30.273020712000061),BY00884,GUEST COTTAGES
90213c7c-e591-4eb4-8552-216189b14d28,POINT (-85.989721725999971 30.273551581000049),BY01041,WATER TOWER AND PUMP HOUSE
8e79b39c-79bd-42b3-88ba-e866b0613f2f,POINT (-85.989302939999959 30.273514711000075),BY01042,SHELTER ON BLUFF
f33ac811-8390-40ea-ae3e-5083e20d46e9,POINT (-85.990184807999981 30.273262222000028),BY01043,"COTTAGE A ""CAT HOUSE"""
