3394,Well Maintained,Well maintained,WLMT,3393,1,0,0,1,1,667b9b98-8256-4c66-9366-7ebcbe6afb2f
3395,Some Areas Maintained,"Some areas maintained, other areas neglected",SMMT,3393,2,0,0,1,1,26610602-e460-4efa-8276-079fd6c9c6fc
3396,Poorly Maintained,Poorly maintained,PRMT,3393,3,0,0,1,1,cde07b38-ac7b-4f68-b809-08f8172d103e
3397,"Not Maintained, But Easily Identifiable","Not maintained, but can identify",NMCN,3393,4,0,0,1,1,e3d61aaf-52aa-4dcf-9ee4-4e489c111d05
3398,"Not Maintained, Hard to Identify","Not maintained, hard to identify",NMHD,3393,5,0,0,1,1,93877ee7-20e2-4a09-91a9-514bbbbe091f
3399,Unspecified,Unspecified by surveyor,UNSP,3393,6,1,0,1,1,343ff8e8-bbb3-4b81-a2ff-43141aa4266e
3400,"Not Identifiable, But Known to Exist","Not identifiable, but known to exist",EXST,3393,7,0,0,1,1,7db59146-1c93-4851-a252-5ac93bccd375
